OBJECTID,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,NOM_LOC,pop_t,pop_m,pop_h,pob_nat,pob_for,pob_dis,pop_ssal,viv_t,viv_hab,H3,H4,TT,H5,H1,H2,inun_pluv,licuefacc,nivel-mar,tsunami,fallas_fra,inun_fluvi
"2","1802000881463004","18","020","0088","1463","004",Urbana,Típica,San Vicente,"128","63","65","49","78","0","46","40","33",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"3","1802000881321013","18","020","0088","1321","013",Urbana,Típica,San Vicente,"18","7","11","15","3","0","0","11","10",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"4","1802000881181003","18","020","0088","1181","003",Urbana,Típica,San Vicente,"223","123","100","39","183","3","69","96","73",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"5","1802000881035011","18","020","0088","1035","011",Urbana,Típica,San Vicente,"22","13","9","6","16","0","3","11","8",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"6","1802000831374012","18","020","0083","1374","012",Urbana,Típica,San José del Valle,"11","7","4","4","7","0","6","7","3",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"7","1802000831302005","18","020","0083","1302","005",Urbana,Típica,San José del Valle,"52","24","28","11","41","0","11","16","14",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"8","1802000831247022","18","020","0083","1247","022",Urbana,Típica,San José del Valle,"114","54","60","29","85","8","23","46","37",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"9","1802000691355007","18","020","0069","1355","007",Urbana,Típica,El Porvenir,"0","0","0","0","0","0","0","0","0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000
"10",180200049200A011,"18","020","0049",200A,"011",Urbana,Típica,San Clemente de Lima,"62","31","31","11","50","0","17","28","23",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11","1802000270817049","18","020","0027","0817","049",Urbana,Típica,Cruz de Huanacaxtle,"0","0","0","0","0","0","0","0","0",71.540786508136591,28.459433081084800,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"12","1802000881035013","18","020","0088","1035","013",Urbana,Típica,San Vicente,"66","33","33","14","49","0","6","27","22",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"13","1802000881497006","18","020","0088","1497","006",Urbana,Típica,San Vicente,"18","8","10","10","6","0","0","28","7",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,82.427229188915376
"14","1802000881317015","18","020","0088","1317","015",Urbana,Típica,San Vicente,"198","104","94","137","60","0","18","79","66",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"15","1802000880431011","18","020","0088","0431","011",Urbana,Típica,San Vicente,"26","9","17","15","11","4","10","13","10",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"16","1802000831374003","18","020","0083","1374","003",Urbana,Típica,San José del Valle,"16","5","11","3","13","0","5","5","4",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"17",180200083129A004,"18","020","0083",129A,"004",Urbana,Típica,San José del Valle,"110","62","48","30","78","0","19","38","33",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"18",180200083129A003,"18","020","0083",129A,"003",Urbana,Típica,San José del Valle,"134","72","62","34","100","0","36","43","39",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"19","1802000491961023","18","020","0049","1961","023",Urbana,Típica,San Clemente de Lima,"89","49","40","33","56","0","12","32","24",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"20","1802000491961022","18","020","0049","1961","022",Urbana,Típica,San Clemente de Lima,"74","33","41","36","33","0","23","37","25",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"21","1802000491961021","18","020","0049","1961","021",Urbana,Típica,San Clemente de Lima,"53","33","20","29","23","0","10","33","24",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"22","1802000491961020","18","020","0049","1961","020",Urbana,Típica,San Clemente de Lima,"9","5","4","5","3","0","0","8","3",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"23",180200049200A009,"18","020","0049",200A,"009",Urbana,Típica,San Clemente de Lima,"77","39","38","17","59","0","20","33","25",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"24",180200049200A008,"18","020","0049",200A,"008",Urbana,Típica,San Clemente de Lima,"41","21","20","4","36","0","0","22","18",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"25",180200049200A007,"18","020","0049",200A,"007",Urbana,Típica,San Clemente de Lima,"124","62","62","31","91","0","26","45","35",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"26",180200049200A006,"18","020","0049",200A,"006",Urbana,Típica,San Clemente de Lima,"96","49","47","14","81","0","21","30","25",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"27",180200049200A005,"18","020","0049",200A,"005",Urbana,Típica,San Clemente de Lima,"120","60","60","46","74","0","20","55","36",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"28",180200049200A004,"18","020","0049",200A,"004",Urbana,Típica,San Clemente de Lima,"88","43","45","23","65","0","35","32","25",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"29",180200049200A003,"18","020","0049",200A,"003",Urbana,Típica,San Clemente de Lima,"137","69","68","23","111","8","51","56","43",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"30",180200043143A005,"18","020","0043",143A,"005",Urbana,Típica,Las Jarretaderas,"90","50","40","25","53","3","33","92","33",0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"31","1802000831158001","18","020","0083","1158","001",Urbana,Típica,San José del Valle,"84","38","46","20","60","0","15","37","27",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"32","1802000431143001","18","020","0043","1143","001",Urbana,Típica,Las Jarretaderas,"13","7","6","7","5","0","0","17","7",0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000
"34","1802000881035032","18","020","0088","1035","032",Urbana,Típica,San Vicente,"68","29","39","15","50","0","20","24","22",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"35","1802000881482003","18","020","0088","1482","003",Urbana,Típica,San Vicente,"80","35","45","11","68","0","16","31","24",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"36","1802000881482002","18","020","0088","1482","002",Urbana,Típica,San Vicente,"190","101","89","73","116","15","48","74","56",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"37","1802000881482001","18","020","0088","1482","001",Urbana,Típica,San Vicente,"226","109","117","37","186","5","55","74","61",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"38","1802000881478003","18","020","0088","1478","003",Urbana,Típica,San Vicente,"182","90","92","39","142","12","29","66","54",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"39","1802000881321037","18","020","0088","1321","037",Urbana,Típica,San Vicente,"34","20","14","19","15","0","0","8","8",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"40","1802000881321036","18","020","0088","1321","036",Urbana,Típica,San Vicente,"150","82","68","22","128","10","55","45","39",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"41","1802000881035023","18","020","0088","1035","023",Urbana,Típica,San Vicente,"203","105","98","33","169","5","24","78","66",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"42","1802000881035022","18","020","0088","1035","022",Urbana,Típica,San Vicente,"63","35","28","15","46","0","9","18","17",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"43","1802000881035021","18","020","0088","1035","021",Urbana,Típica,San Vicente,"45","21","24","5","40","0","7","18","14",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
